,birth,death,gender,level1_main_occ,name,un_subregion,bigperiod_birth_graph_b,level2_main_occ,level2_second_occ,level3_main_occ,citizenship_1_b,area1_of_rattachment,un_region
0,1932.0,1990.0,Male,Culture,Claus_Hammel,Western Europe,5.Contemporary period 1901-2020AD,Culture-core,Culture-periphery,playwright,Germany,Germany,Europe
1,1860.0,1927.0,Male,Culture,Karel_MatÄj_Äapek-Chod,Western Europe,4.Mid Modern Period 1751-1900AD,Culture-core,Culture-periphery,writer,Czech_Republic,Old_(before_year_1993_AD)_Czech_Republic,Europe
2,1971.0,,Male,Culture,Florian_Eichinger,Western Europe,5.Contemporary period 1901-2020AD,Culture-core,Missing,film,Germany,Germany,Europe
3,1983.0,,Male,Culture,Florian_Jahr,Western Europe,5.Contemporary period 1901-2020AD,Culture-core,Missing,actor,Germany,Germany,Europe
4,1912.0,1977.0,Female,Leadership,Wiltraut_Rupp-von_BrÃ¼nneck,Western Europe,5.Contemporary period 1901-2020AD,Administration/Law,Politics,judge,Germany,Old_(before_year_1990_AD)_Germany,Europe
5,1928.0,2016.0,Male,Culture,Gillett_Griffin,Northern America,5.Contemporary period 1901-2020AD,Culture-core,Religious,curator,US,US,America
6,1818.0,1894.0,Male,Discovery/Science,Joseph_Dienger,Western Europe,4.Mid Modern Period 1751-1900AD,Academia,Missing,mathematician,Germany,Old_(before_year_1990_AD)_Germany,Europe
7,1907.0,1980.0,Female,Discovery/Science,Sylvia_Bayr-Klimpfinger,Western Europe,5.Contemporary period 1901-2020AD,Academia,Missing,professor,Austria,Austria,Europe
8,1915.0,1987.0,Male,Culture,Eugen_Brammertz,Western Europe,5.Contemporary period 1901-2020AD,Culture-periphery,Family,journalist,Germany,Old_(before_year_1990_AD)_Germany,Europe
9,1891.0,1962.0,Male,Discovery/Science,Franz_Zimmermann_(Philologe),Western Europe,4.Mid Modern Period 1751-1900AD,Academia,Missing,philologist,Germany,Old_(before_year_1990_AD)_Germany,Europe
10,1922.0,1951.0,Male,Culture,Tadeusz_Borowski,Eastern Europe,5.Contemporary period 1901-2020AD,Culture-core,Culture-periphery,writer,Poland,Poland,Europe
11,1963.0,,Male,Sports/Games,Mayk_Bullerjahn,Western Europe,5.Contemporary period 1901-2020AD,Sports/Games,Missing,football,Germany,Germany,Europe
12,1884.0,1962.0,Male,Leadership,Joseph_C._O'Mahoney,Northern America,4.Mid Modern Period 1751-1900AD,Politics,Administration/Law,politician,US,US,America
13,1962.0,,Male,Leadership,Vasily_Nebenzya,Eastern Europe,5.Contemporary period 1901-2020AD,Administration/Law,Politics,diplomat,Russia,Russia,Europe
14,1940.0,,Male,Leadership,Valentyn_Symonenko,Eastern Europe,5.Contemporary period 1901-2020AD,Politics,Academia,politician,Ukraine,Ukraine,Europe
15,1900.0,1972.0,Male,Leadership,Myron_V._George,Northern America,4.Mid Modern Period 1751-1900AD,Politics,Administration/Law,politician,US,US,America
16,1928.0,,Male,Leadership,Richard_Ellerkmann,Western Europe,5.Contemporary period 1901-2020AD,Administration/Law,Missing,botschafter,Germany,Old_(before_year_1990_AD)_Germany,Europe
17,1935.0,2009.0,Male,Discovery/Science,Otto_Arndt_Liebisch,Western Europe,5.Contemporary period 1901-2020AD,Academia,Missing,physician,Germany,Germany,Europe
18,1858.0,1932.0,Male,Leadership,Frank_P._Coburn,Northern America,4.Mid Modern Period 1751-1900AD,Politics,Missing,politician,US,US,America
19,,,Female,Culture,Ulrike_Scheel,Western Europe,5.Contemporary period 1901-2020AD,Culture-core,Missing,actor,Germany,Germany,Europe
20,1907.0,1992.0,Male,Leadership,Meade_Alcorn,Northern America,5.Contemporary period 1901-2020AD,Politics,Administration/Law,politician,US,US,America
21,,1272.0,Male,Leadership,Henri_de_Linange,Western Europe,2.Post-Classical History 501-1500AD,Religious,Missing,Ã©vÃªque,Germany,Old_(before_year_1990_AD)_Germany,Europe
22,1978.0,,Male,Sports/Games,Erik_Vliegen,Western Europe,5.Contemporary period 1901-2020AD,Sports/Games,Missing,athlete,Belgium,Belgium,Europe
23,1958.0,,Male,Culture,Daniele_DâAgaro,Southern Europe,5.Contemporary period 1901-2020AD,Culture-core,Missing,clarinet,Italy,Italy,Europe
24,1989.0,,Male,Sports/Games,Maximilian_Holst,Western Europe,5.Contemporary period 1901-2020AD,Sports/Games,Missing,handball,Germany,Germany,Europe
25,1920.0,2006.0,Male,Culture,Thilo_Koch,Western Europe,5.Contemporary period 1901-2020AD,Culture-periphery,Missing,journalist,Germany,Germany,Europe
26,1956.0,,Male,Culture,Martin_BÃ¤renz,Western Europe,5.Contemporary period 1901-2020AD,Culture-core,Missing,composer,Germany,Germany,Europe
27,1989.0,,Male,Sports/Games,Christoph_Behr,Western Europe,5.Contemporary period 1901-2020AD,Sports/Games,Missing,football,Germany,Germany,Europe
28,1929.0,2003.0,Male,Discovery/Science,Hans_ElsÃ¤sser,Western Europe,5.Contemporary period 1901-2020AD,Academia,Missing,astronomer,Germany,Germany,Europe
29,1132.0,1190.0,Male,Leadership,Gottfried_von_Spitzenberg,Western Europe,2.Post-Classical History 501-1500AD,Religious,Missing,priest,Germany,Old_(before_year_1990_AD)_Germany,Europe
30,1952.0,,Male,Leadership,Dietmar_Thieser,Western Europe,5.Contemporary period 1901-2020AD,Politics,Missing,politician,Germany,Germany,Europe
31,1968.0,,Male,Sports/Games,Richard_Mademann,Western Europe,5.Contemporary period 1901-2020AD,Sports/Games,Missing,football,Germany,Germany,Europe
32,1886.0,1945.0,Male,Culture,Robert_Mallet-Stevens,Western Europe,4.Mid Modern Period 1751-1900AD,Culture-periphery,Culture-core,architect,France,France,Europe
33,1923.0,,Female,Culture,Renee_Goddard,Western Europe,5.Contemporary period 1901-2020AD,Culture-core,Missing,actor,Germany,Old_(before_year_1990_AD)_Germany,Europe
34,1939.0,,Male,Leadership,Wolfgang_Poppelbaum,Western Europe,5.Contemporary period 1901-2020AD,Administration/Law,Other,lawyer,Germany,Old_(before_year_1990_AD)_Germany,Europe
35,1954.0,,Male,Culture,Hans_Beletz,Western Europe,5.Contemporary period 1901-2020AD,Culture-core,Missing,painter,Austria,Austria,Europe
